00:00:00.000000 ; TestPlan       ; Information ; Starting TestPlan 'Untitled' on 06/14/2024 11:45:11, 147 of 399 TestSteps enabled.
00:00:00.036253 ; CSV            ; Information ; Resource "CSV" opened. [24.4 us]
00:00:00.036253 ; Log            ; Information ; Resource "Log" opened. [20.2 us]
00:00:00.036253 ; DRL            ; Information ; Resource "DRL" opened. [112 us]
00:00:00.036253 ; XSA 5GNR       ; Debug       ; Connecting to 'TCPIP0::localhost::hislip1::INSTR'
00:00:00.036253 ; 5G BSE         ; Debug       ; Connecting to 'TCPIP0::localhost::hislip2::INSTR'
00:00:00.036253 ; 5G BSE         ; Debug       ; Connecting to 'TCPIP0::localhost::hislip2::INSTR'
00:00:00.036253 ; 5G BSE         ; Debug       ; Connecting to 'TCPIP0::localhost::hislip2::INSTR'
00:00:00.036253 ; N6700_Virtual  ; Information ; Resource "N6700_Virtual (TCPIP0::201.20.2.208::hislip0::INSTR)" opened. [43.5 us]
00:00:00.037259 ; V_HCCU         ; Debug       ; Connecting to 'TCPIP0::localhost::5025::SOCKET'
00:00:00.037259 ; Climatic Chamber ; Information ; Resource "Climatic Chamber" opened. [68.0 us]
00:00:00.037259 ; DUT Automation ; Information ; Resource "DUT Automation" opened. [97.4 us]
00:00:00.037259 ; 5G PlatformServices ; Information ; Resource "5G PlatformServices" opened. [74.2 us]
00:00:05.038721 ; V_HCCU         ; Debug       ; Error opening 'V_HCCU': Cannot connect to instrument on address 'TCPIP0::localhost::5025::SOCKET'.
00:00:05.046298 ; XSA 5GNR       ; Debug       ; SCPI >> *IDN? [295 us]
00:00:05.046298 ; XSA 5GNR       ; Debug       ; SCPI << Keysight Technologies,E7515B,NA00000000,T.35.00_P0049
00:00:05.046298 ; XSA 5GNR       ; Information ; Now connected to: Keysight Technologies,E7515B,NA00000000,T.35.00_P0049
00:00:05.047305 ; XSA 5GNR       ; Debug       ; SCPI >> *CLS [24.4 us]
00:00:05.047305 ; XSA 5GNR       ; Information ; Resource "XSA 5GNR (TCPIP0::localhost::hislip1::INSTR)" opened. [5.01 s]
